"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"23004 MERUOCA";21444;21860;22254;22624;22975;23325;23672;24007;24336;24661;24972;25176;25375;25569;25761;25967;26171;26368;26572;26771;26966;27155
"23005 SOBRAL";334520;340790;346737;352337;357627;362901;368143;373189;378177;383065;387771;390855;393867;396776;399679;402784;405854;408839;411914;414924;417859;420712
"23006 IPU";139053;139151;139247;139335;139420;139503;139587;139669;139746;139824;139899;139948;139996;140043;140087;140138;140186;140234;140281;140328;140376;140421
"23007 SANTA QUITERIA";70807;71058;71294;71519;71731;71942;72152;72355;72553;72748;72936;73060;73181;73297;73413;73539;73660;73779;73902;74023;74140;74255
"23008 ITAPIPOCA";175824;179950;183864;187549;191028;194497;197947;201267;204546;207766;210860;212890;214871;216786;218697;220741;222760;224723;226747;228728;230659;232535
"23009 BAIXO CURU";90925;92900;94772;96534;98201;99862;101513;103100;104672;106212;107691;108664;109610;110527;111442;112420;113386;114325;115295;116242;117165;118064
"23010 URUBURETAMA";88221;89968;91627;93184;94660;96129;97590;98996;100383;101747;103056;103915;104755;105565;106374;107240;108095;108928;109783;110621;111441;112235
"23011 MEDIO CURU";77806;78925;79985;80985;81930;82870;83806;84708;85597;86471;87310;87860;88399;88916;89435;89989;90538;91070;91620;92156;92681;93191
"23012 CANINDE";114375;115861;117271;118596;119847;121097;122338;123534;124714;125873;126987;127717;128430;129120;129806;130542;131270;131976;132705;133417;134114;134789
"23013 BATURITE";175864;177572;179192;180717;182158;183595;185022;186397;187757;189088;190371;191212;192032;192823;193613;194459;195296;196110;196949;197767;198566;199342
"23014 CHOROZINHO";60521;61134;61718;62264;62782;63299;63813;64305;64795;65273;65733;66035;66328;66614;66899;67204;67504;67796;68098;68392;68680;68959
"23015 CASCAVEL";116706;118983;121140;123172;125091;127004;128907;130739;132547;134323;136030;137148;138242;139298;140352;141478;142592;143676;144791;145883;146950;147985
"23016 FORTALEZA";2926651;2984535;3039450;3091137;3139978;3188667;3237072;3283654;3329675;3374848;3418257;3446732;3474534;3501405;3528210;3556889;3585237;3612778;3641177;3668971;3696069;3722404
"23017 PACAJUS";79902;84553;88964;93117;97041;100952;104841;108584;112281;115910;119398;121686;123919;126078;128232;130536;132813;135026;137307;139540;141717;143833
"23018 SERTAO DE CRATEUS";240037;240759;241444;242086;242693;243302;243905;244485;245058;245622;246162;246516;246861;247197;247531;247886;248242;248584;248938;249284;249622;249950
