"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"22015 ALTO MEDIO CANINDE";248452;251185;253664;255820;257829;259862;261799;263558;265189;266672;268053;268798;269507;270086;270662;271327;271945;272556;273219;273853;274450;275021
"41001 PARANAVAI";263542;265141;266587;267922;269177;270436;271665;272802;273930;275079;276208;277431;278638;279878;281167;282482;283736;284969;286223;287446;288640;289801
"41002 UMUARAMA";263648;264499;265269;265979;266647;267316;267971;268575;269175;269786;270389;271039;271683;272344;273029;273727;274393;275053;275719;276371;277003;277623
"41003 CIANORTE";127966;130149;132129;133956;135671;137391;139068;140622;142163;143735;145280;146949;148604;150296;152064;153856;155571;157257;158969;160642;162273;163861
"41004 GOIOERE";132342;130671;129153;127757;126443;125125;123841;122654;121472;120269;119085;117807;116540;115243;113891;112519;111207;109915;108605;107321;106072;104858
"41005 CAMPO MOURAO";221917;221890;221871;221847;221829;221811;221789;221773;221755;221736;221718;221699;221680;221660;221642;221620;221600;221582;221559;221542;221523;221505
"41006 ASTORGA";177214;178524;179708;180801;181830;182860;183865;184795;185721;186658;187586;188584;189577;190591;191649;192724;193752;194762;195785;196789;197766;198717
"41007 PORECATU";85174;85049;84937;84834;84735;84637;84542;84453;84366;84276;84189;84094;84000;83905;83804;83702;83605;83508;83410;83316;83222;83131
"41008 FLORAI";34667;34757;34840;34917;34989;35059;35130;35194;35258;35323;35388;35459;35527;35597;35670;35744;35817;35887;35958;36028;36096;36163
"41009 MARINGA";460836;472241;482586;492120;501082;510068;518831;526953;535003;543199;551280;559996;568642;577493;586716;596077;605034;613846;622791;631531;640052;648342
"41010 APUCARANA";256633;261181;265311;269114;272692;276276;279774;283015;286227;289497;292721;296200;299651;303179;306861;310596;314170;317688;321255;324742;328142;331449
"41011 LONDRINA";652974;663826;673676;682748;691278;699828;708169;715899;723559;731360;739050;747344;755574;763997;772774;781682;790209;798593;807107;815425;823534;831424
"41012 FAXINAL";48948;48739;48548;48373;48207;48042;47881;47731;47584;47433;47284;47123;46965;46802;46633;46460;46296;46134;45969;45807;45650;45498
"41013 IVAIPORA";152786;151224;149807;148501;147275;146042;144844;143731;142629;141505;140399;139204;138023;136808;135545;134263;133037;131830;130606;129407;128243;127106
"41014 ASSAI";75030;74723;74445;74186;73948;73705;73468;73249;73034;72813;72595;72360;72128;71889;71640;71389;71148;70911;70669;70435;70206;69982
"41015 CORNELIO PROCOPIO";187340;186389;185527;184735;183985;183238;182509;181831;181160;180477;179804;179079;178358;177619;176852;176072;175326;174591;173847;173119;172408;171717
"41016 JACAREZINHO";122218;122569;122888;123181;123458;123733;124003;124254;124502;124753;125002;125270;125537;125808;126093;126383;126656;126927;127204;127472;127734;127991
"41017 IBAITI";76068;76426;76749;77050;77330;77613;77888;78142;78395;78652;78906;79179;79451;79730;80018;80312;80593;80869;81150;81425;81691;81951
"41018 WENCESLAU BRAZ";99569;99729;99873;100007;100132;100260;100381;100496;100608;100724;100836;100959;101081;101203;101332;101464;101589;101713;101838;101960;102080;102196
"41019 TELEMACO BORBA";149587;151176;152619;153946;155195;156446;157667;158798;159919;161061;162187;163401;164605;165840;167124;168429;169677;170904;172151;173367;174554;175708
"41020 JAGUARIAIVA";96144;96919;97622;98269;98880;99490;100086;100639;101187;101744;102293;102886;103474;104075;104701;105339;105947;106547;107154;107750;108329;108892
"41021 PONTA GROSSA";391311;397270;402677;407660;412342;417038;421619;425862;430069;434352;438575;443130;447648;452273;457092;461984;466666;471270;475944;480512;484964;489297
"41022 TOLEDO";351220;355520;359421;363019;366398;369787;373094;376157;379194;382283;385332;388620;391880;395217;398698;402228;405606;408930;412304;415601;418813;421939
"41023 CASCAVEL";404105;408837;413131;417084;420802;424533;428166;431538;434878;438277;441630;445246;448835;452505;456333;460218;463933;467589;471299;474925;478462;481900
"41024 FOZ DO IGUACU";408258;409357;410352;411270;412135;412999;413844;414626;415399;416191;416969;417809;418641;419493;420381;421284;422145;422996;423858;424700;425519;426315
"41025 CAPANEMA";95894;96058;96208;96344;96474;96602;96728;96845;96961;97080;97196;97321;97446;97573;97707;97841;97970;98098;98226;98351;98474;98594
"41026 FRANCISCO BELTRAO";233124;234905;236523;238013;239413;240817;242187;243456;244713;245995;247256;248616;249971;251350;252792;254256;255656;257033;258430;259793;261127;262422
"41027 PATO BRANCO";153979;155069;156055;156965;157819;158678;159512;160287;161056;161837;162609;163441;164265;165110;165991;166885;167738;168579;169431;170267;171079;171870
"41028 PITANGA";86408;85220;84139;83145;82211;81273;80361;79515;78674;77819;76976;76067;75165;74244;73280;72305;71370;70452;69520;68608;67719;66855
"41029 GUARAPUAVA";372504;374203;375749;377174;378507;379847;381156;382367;383570;384793;385999;387299;388591;389910;391285;392681;394020;395332;396668;397970;399242;400481
"41030 PALMAS";86599;87291;87920;88499;89044;89589;90121;90615;91104;91602;92092;92622;93147;93684;94244;94812;95358;95893;96436;96967;97484;97987
"41031 PRUDENTOPOLIS";119764;121157;122420;123584;124679;125775;126846;127839;128820;129823;130808;131872;132927;134009;135135;136279;137370;138448;139540;140608;141649;142661
"41032 IRATI";93652;94377;95033;95639;96208;96778;97335;97851;98362;98883;99396;99950;100499;101061;101646;102241;102811;103369;103937;104492;105033;105560
"41033 UNIAO DA VITORIA";114025;114666;115247;115782;116286;116789;117283;117740;118192;118652;119107;119596;120082;120578;121098;121622;122126;122621;123124;123616;124095;124559
"41034 SAO MATEUS DO SUL";57633;58380;59059;59682;60270;60859;61432;61964;62491;63028;63558;64129;64695;65275;65879;66492;67079;67656;68243;68815;69373;69917
"41035 CERRO AZUL";30007;29958;29914;29873;29835;29797;29759;29725;29690;29655;29621;29585;29548;29509;29470;29429;29391;29355;29317;29278;29242;29206
"41036 LAPA";47530;47896;48228;48534;48822;49111;49392;49653;49912;50174;50434;50714;50992;51276;51572;51872;52160;52443;52730;53011;53284;53550
"41037 CURITIBA";2720463;2771028;2816909;2859180;2898921;2938759;2977624;3013635;3049329;3085675;3121502;3160147;3198489;3237728;3278628;3320134;3359856;3398928;3438591;3477344;3515126;3551884
"41038 PARANAGUA";241017;244758;248155;251282;254224;257172;260048;262713;265355;268042;270695;273555;276392;279296;282322;285396;288334;291225;294160;297029;299824;302544
"41039 RIO NEGRO";81343;82602;83743;84794;85783;86774;87742;88638;89524;90430;91321;92284;93236;94214;95231;96263;97251;98224;99210;100175;101113;102028
"33001 ITAPERUNA";183994;185743;187354;188898;190422;191898;193315;194696;196099;197527;198943;199911;200906;201908;202947;204037;205043;206027;207054;208046;209005;209926
"33002 SANTO ANTONIO DE PADUA";120583;121074;121524;121957;122383;122797;123193;123581;123974;124375;124771;125042;125320;125602;125893;126197;126480;126754;127043;127322;127591;127847
"33003 CAMPOS DOS GOYTACAZES";537338;544609;551307;557727;564064;570201;576094;581839;587661;593609;599495;603520;607660;611820;616143;620667;624863;628945;633215;637347;641332;645155
"33004 MACAE";177592;188011;197609;206810;215891;224685;233130;241361;249704;258226;266661;272433;278360;284322;290517;297000;303011;308861;314980;320901;326611;332091
"33005 TRES RIOS";147750;149037;150221;151357;152479;153565;154609;155626;156656;157708;158750;159461;160195;160932;161695;162496;163240;163962;164718;165450;166154;166832
"33006 CANTAGALO-CORDEIRO";59817;60310;60764;61198;61629;62042;62443;62831;63227;63630;64028;64301;64581;64863;65156;65462;65745;66022;66312;66592;66862;67122
"33007 NOVA FRIBURGO";225663;227083;228390;229643;230882;232081;233230;234353;235490;236651;237800;238586;239393;240205;241050;241933;242754;243551;244384;245192;245969;246715
"33008 SANTA MARIA MADALENA";29584;29642;29696;29747;29798;29848;29895;29941;29988;30035;30083;30115;30148;30182;30217;30253;30286;30320;30354;30387;30419;30449
"33009 BACIA DE SAO JOAO";81684;91495;100533;109198;117748;126029;133982;141732;149590;157613;165556;170991;176572;182186;188020;194126;199787;205295;211057;216632;222008;227168
"33010 LAGOS";391349;409796;426794;443083;459163;474733;489687;504262;519035;534124;549059;559277;569776;580331;591299;602777;613424;623781;634615;645100;655210;664911
"33011 VALE DO PARAIBA FLUMINENSE";637118;643690;649745;655550;661276;666822;672151;677345;682608;687982;693302;696941;700683;704443;708350;712439;716233;719921;723782;727517;731120;734576
"33012 BARRA DO PIRAI";166189;167643;168982;170265;171531;172758;173936;175084;176248;177438;178614;179419;180247;181078;181942;182846;183685;184501;185354;186181;186977;187742
"33013 BAIA DA ILHA GRANDE";152230;159117;165460;171542;177544;183355;188938;194378;199893;205526;211100;214914;218832;222773;226868;231153;235127;238993;243037;246950;250724;254346
"33014 VASSOURAS";153774;155321;156750;158118;159467;160774;162027;163252;164493;165758;167013;167872;168752;169637;170559;171523;172416;173286;174195;175076;175924;176738
"33015 SERRANA";454013;458124;461914;465546;469130;472602;475936;479185;482476;485841;489170;491448;493788;496141;498587;501146;503519;505829;508243;510580;512834;514996
"33016 MACACU-CACERIBU";100643;101986;103228;104414;105585;106720;107810;108873;109949;111050;112137;112883;113648;114417;115217;116055;116830;117585;118374;119138;119876;120582
"33017 ITAGUAI";176172;182252;187852;193221;198520;203653;208581;213383;218253;223226;228148;231516;234975;238454;242068;245851;249360;252775;256345;259799;263131;266329
"33018 RIO DE JANEIRO";10928389;11033689;11130695;11223681;11315453;11404324;11489672;11572858;11657193;11743315;11828558;11886878;11946791;12007050;12069656;12135177;12195935;12255057;12316898;12376733;12434442;12489824
"24001 MOSSORO";282653;289132;295276;301235;307014;312862;318615;324010;329444;334975;340232;344916;349575;354075;358558;363131;367453;371592;375810;379953;384018;387999
"24002 CHAPADA DO APODI";72253;72460;72655;72846;73030;73217;73401;73574;73747;73922;74091;74240;74389;74533;74676;74822;74960;75092;75226;75360;75488;75616
"24003 MEDIO OESTE";38099;38305;38499;38688;38873;39059;39241;39413;39585;39760;39927;40077;40223;40367;40510;40654;40791;40923;41057;41188;41318;41443
"24004 VALE DO ACU";128236;129978;131631;133234;134789;136362;137908;139361;140821;142309;143724;144984;146238;147447;148653;149885;151046;152158;153296;154407;155501;156572
"24005 SERRA DE SAO MIGUEL";60215;60660;61085;61494;61892;62295;62691;63062;63437;63817;64179;64503;64821;65132;65441;65754;66053;66339;66628;66914;67194;67468
"24006 PAU DOS FERROS";115485;115640;115788;115929;116068;116206;116344;116474;116605;116737;116862;116971;117084;117193;117301;117410;117513;117614;117712;117812;117909;118003
"24007 UMARIZAL";65832;65903;65969;66034;66098;66161;66223;66283;66342;66404;66460;66511;66563;66612;66661;66711;66756;66802;66848;66892;66939;66981
"24008 MACAU";45915;46823;47685;48519;49330;50151;50954;51712;52474;53248;53986;54644;55295;55928;56554;57196;57801;58382;58974;59555;60125;60683
"24009 ANGICOS";52354;52367;52380;52393;52403;52416;52426;52436;52447;52458;52469;52478;52488;52497;52506;52515;52523;52531;52539;52550;52557;52565
"24010 SERRA DE SANTANA";62376;62436;62495;62552;62608;62664;62718;62768;62821;62872;62922;62968;63011;63053;63095;63139;63179;63219;63260;63299;63338;63374
"24011 SERIDO OCIDENTAL";92063;92944;93780;94591;95377;96173;96956;97690;98428;99181;99896;100535;101167;101779;102389;103011;103600;104162;104736;105299;105853;106393
"24012 SERIDO ORIENTAL";117730;118158;118563;118955;119336;119721;120100;120457;120814;121179;121525;121833;122140;122438;122734;123034;123318;123591;123872;124144;124410;124673
"24013 BAIXA VERDE";58422;59059;59662;60249;60816;61388;61956;62485;63019;63562;64079;64537;64998;65438;65879;66328;66753;67160;67574;67980;68381;68772
"24014 BORBOREMA POTIGUAR";127862;128879;129844;130782;131690;132608;133512;134361;135215;136082;136908;137645;138378;139083;139789;140508;141186;141837;142498;143150;143789;144411
"24015 AGRESTE POTIGUAR";211664;214318;216838;219278;221645;224040;226399;228609;230833;233101;235255;237174;239082;240926;242764;244637;246405;248104;249832;251528;253196;254824
"24016 LITORAL NORDESTE";77286;78260;79185;80082;80952;81830;82696;83508;84326;85157;85948;86653;87353;88030;88705;89393;90041;90666;91300;91925;92534;93134
"24017 MACAIBA";247658;253020;258106;263036;267822;272660;277422;281888;286385;290961;295313;299190;303047;306769;310480;314266;317842;321269;324758;328190;331553;334847
"24018 NATAL";880186;899763;918326;936328;953792;971460;988843;1005144;1021559;1038274;1054157;1068311;1082387;1095978;1109526;1123346;1136401;1148911;1161655;1174174;1186452;1198480
"24019 LITORAL SUL";116746;118464;120091;121670;123203;124752;126277;127708;129146;130611;132006;133245;134481;135674;136863;138074;139222;140317;141435;142533;143610;144665
"11001 PORTO VELHO";421783;438210;453346;467365;480873;494129;506965;519053;530695;541951;552845;566376;579974;593616;607539;621709;635289;648881;662715;676286;689580;702588
"11002 GUAJARA-MIRIM";60552;62115;63556;64890;66175;67437;68658;69809;70917;71988;73024;74311;75606;76904;78229;79577;80869;82163;83480;84771;86035;87273
"11003 ARIQUEMES";141979;146131;149961;153505;156921;160272;163519;166573;169519;172364;175119;178542;181979;185430;188949;192532;195966;199403;202900;206332;209694;212983
"11004 JI-PARANA";310623;309582;308623;307733;306877;306037;305224;304458;303719;303007;302316;301458;300598;299733;298850;297950;297090;296229;295352;294493;293651;292827
"11005 ALVORADA D'OESTE";74006;73731;73478;73243;73017;72796;72580;72378;72183;71995;71812;71585;71357;71129;70897;70660;70432;70204;69972;69746;69523;69304
"11006 CACOAL";230085;230512;230909;231274;231626;231971;232307;232623;232925;233218;233503;233856;234211;234565;234930;235297;235654;236009;236369;236722;237069;237408
"11007 VILHENA";108102;111567;114762;117719;120568;123366;126076;128625;131080;133456;135754;138609;141477;144355;147293;150284;153147;156016;158934;161798;164604;167348
"11008 COLORADO DO OESTE";61888;60931;60051;59234;58449;57679;56930;56228;55550;54895;54261;53473;52682;51888;51079;50254;49464;48673;47867;47077;46304;45547
"14001 BOA VISTA";237130;246030;254726;263472;272534;281320;290055;299053;308208;317392;326455;334090;341743;349413;357176;365407;374904;392589;418986;444920;467130;485509
"14002 NORDESTE DE RORAIMA";30662;31886;33081;34283;35529;36736;37937;39174;40432;41694;42941;43990;45042;46096;47163;48225;49293;50387;51495;52593;53677;54744
"14003 CARACARAI";31152;32299;33419;34547;35713;36846;37971;39131;40310;41494;42662;43646;44631;45621;46621;47618;48617;49646;50692;51729;52751;53754
"14004 SUDESTE DE RORAIMA";34412;35643;36845;38054;39307;40522;41730;42973;44239;45508;46762;47817;48874;49936;51010;52078;53153;54263;55395;56519;57623;58706
"43001 SANTA ROSA";164517;163902;163389;162938;162507;162087;161719;161417;161124;160816;160526;160167;159788;159406;159012;158597;158200;157830;157463;157111;156774;156452
"43002 TRES PASSOS";153523;152483;151614;150850;150123;149415;148798;148287;147789;147269;146779;146176;145536;144887;144221;143524;142847;142221;141605;141009;140441;139894
"43003 FREDERICO WESTPHALEN";188127;186599;185317;184195;183121;182082;181169;180414;179681;178922;178196;177307;176366;175407;174427;173401;172404;171482;170577;169698;168859;168055
"43004 ERECHIM";216975;216829;216709;216598;216495;216399;216311;216238;216169;216094;216026;215939;215851;215765;215664;215568;215472;215383;215299;215216;215135;215057
"43005 SANANDUVA";63684;63408;63177;62973;62780;62591;62426;62292;62158;62020;61890;61728;61558;61386;61210;61024;60843;60676;60515;60355;60203;60058
"43006 CERRO LARGO";71271;70683;70189;69757;69343;68942;68591;68300;68017;67722;67444;67101;66738;66370;65992;65597;65214;64857;64509;64171;63845;63537
"43007 SANTO ANGELO";212599;210814;209317;208009;206756;205540;204474;203595;202740;201848;201006;199965;198867;197753;196608;195406;194245;193167;192106;191083;190107;189169
"43008 IJUI";183069;183785;184386;184910;185417;185905;186331;186683;187027;187385;187723;188140;188580;189030;189488;189970;190437;190870;191294;191705;192099;192477
"43009 CARAZINHO";161858;162074;162256;162411;162562;162710;162840;162945;163047;163156;163258;163385;163516;163651;163787;163932;164073;164201;164332;164455;164574;164687
"43010 PASSO FUNDO";305303;309779;313537;316822;319968;323019;325684;327894;330040;332280;334394;337005;339757;342559;345429;348443;351358;354062;356719;359285;361746;364095
"43011 CRUZ ALTA";158703;157876;157184;156578;155999;155435;154944;154536;154141;153728;153337;152853;152350;151830;151301;150745;150208;149708;149220;148745;148290;147857
"43012 NAO-ME-TOQUE";42029;42192;42331;42451;42565;42676;42776;42856;42933;43016;43093;43189;43289;43393;43497;43606;43713;43812;43910;44004;44094;44179
"43013 SOLEDADE";73510;73434;73371;73315;73261;73210;73163;73127;73091;73053;73017;72972;72927;72878;72830;72779;72730;72684;72638;72595;72552;72513
"43014 GUAPORE";117804;119674;121248;122615;123931;125205;126319;127245;128141;129075;129959;131052;132199;133370;134569;135828;137047;138176;139288;140356;141389;142370
"43015 VACARIA";156553;157177;157698;158156;158593;159020;159388;159699;159996;160308;160601;160967;161349;161738;162140;162557;162960;163340;163709;164068;164409;164735
"43016 CAXIAS DO SUL";665626;684073;699558;713092;726051;738630;749627;758733;767569;776793;785512;796273;807620;819166;830987;843401;855417;866559;877518;888088;898229;907916
"43017 SANTIAGO";113206;113171;113138;113109;113084;113060;113037;113019;113001;112982;112965;112945;112920;112897;112874;112848;112824;112802;112781;112759;112737;112720
"43018 SANTA MARIA";355824;358085;359983;361640;363228;364772;366117;367232;368317;369445;370514;371832;373222;374637;376086;377607;379081;380444;381788;383082;384326;385512
"43019 RESTINGA SECA";67533;67074;66689;66350;66029;65713;65441;65213;64993;64764;64546;64276;63992;63708;63413;63105;62803;62526;62254;61990;61736;61497
"43020 SANTA CRUZ DO SUL";304017;307533;310487;313069;315540;317938;320035;321771;323456;325215;326878;328930;331093;333297;335551;337916;340207;342333;344424;346436;348371;350219
"43021 LAJEADO-ESTRELA";282280;286831;290655;293996;297191;300296;303009;305258;307437;309711;311865;314522;317318;320172;323089;326151;329117;331868;334571;337180;339682;342070
"43022 CACHOEIRA DO SUL";160155;159535;159014;158560;158126;157703;157334;157028;156730;156422;156128;155766;155385;154998;154601;154183;153780;153405;153037;152683;152342;152017
"43023 MONTENEGRO";180791;184779;188125;191050;193853;196569;198945;200913;202822;204815;206701;209028;211479;213974;216532;219210;221808;224217;226588;228872;231062;233154
"43024 GRAMADO-CANELA";264705;270575;275500;279804;283927;287933;291424;294324;297135;300068;302843;306264;309873;313549;317308;321259;325080;328624;332114;335471;338699;341781
"43025 SAO JERONIMO";134257;136151;137744;139133;140463;141758;142887;143821;144729;145677;146573;147679;148845;150030;151245;152520;153755;154899;156025;157111;158153;159147
"43026 PORTO ALEGRE";3487591;3520703;3548494;3572786;3596050;3618621;3638365;3654705;3670564;3687121;3702770;3722087;3742451;3763174;3784389;3806673;3828239;3848243;3867904;3886878;3905087;3922467
"43027 OSORIO";291054;299846;307229;313681;319859;325854;331097;335438;339649;344046;348204;353336;358740;364245;369882;375800;381527;386842;392066;397104;401937;406554
"43028 CAMAQUA";125934;127042;127974;128788;129566;130322;130984;131531;132063;132616;133141;133787;134470;135165;135876;136622;137343;138013;138673;139308;139917;140499
"43029 CAMPANHA OCIDENTAL";387276;384891;382889;381138;379462;377837;376414;375237;374094;372901;371773;370382;368914;367421;365894;364287;362733;361292;359877;358508;357196;355945
"43030 CAMPANHA CENTRAL";197711;196335;195180;194170;193204;192265;191445;190766;190107;189418;188768;187966;187119;186258;185376;184449;183554;182722;181904;181116;180360;179637
"43031 CAMPANHA MERIDIONAL";175805;176050;176256;176435;176608;176776;176921;177042;177160;177281;177398;177541;177692;177845;178002;178167;178327;178476;178620;178761;178896;179025
"43032 SERRAS DE SUDESTE";118475;118529;118575;118615;118652;118690;118724;118749;118774;118803;118828;118859;118892;118926;118961;119000;119034;119069;119098;119130;119160;119188
"43033 PELOTAS";482052;483719;485119;486343;487514;488652;489644;490468;491266;492101;492888;493861;494885;495931;497000;498120;499207;500215;501204;502159;503075;503951
"43034 JAGUARAO";57122;56680;56309;55985;55674;55373;55110;54893;54681;54459;54251;53993;53722;53445;53163;52865;52578;52310;52048;51794;51552;51319
"43035 LITORAL LAGUNAR";253367;255158;256660;257974;259231;260451;261518;262400;263259;264153;265000;266044;267145;268266;269413;270617;271782;272865;273927;274953;275939;276877
"42001 SAO MIGUEL DO OESTE";175235;175499;175746;175987;176232;176476;176721;176952;177188;177427;177664;177912;178158;178411;178663;178920;179173;179428;179684;179933;180176;180415
"42002 CHAPECO";369926;374457;378741;382916;387102;391347;395527;399565;403629;407757;411843;416105;420417;424722;429060;433502;437927;442302;446674;450981;455210;459354
"42003 XANXERE";145709;146716;147666;148593;149523;150466;151397;152291;153193;154112;155018;155964;156923;157877;158839;159828;160810;161782;162754;163708;164649;165567
"42004 JOACABA";310170;312517;314735;316895;319062;321259;323426;325520;327623;329759;331876;334083;336319;338546;340793;343091;345386;347646;349912;352143;354332;356478
"42005 CONCORDIA";141048;141407;141746;142078;142410;142745;143073;143394;143715;144043;144366;144704;145045;145385;145729;146082;146430;146777;147120;147463;147798;148127
"42006 CANOINHAS";238038;239096;240096;241070;242048;243038;244011;244957;245903;246868;247821;248815;249823;250826;251838;252877;253906;254929;255950;256956;257942;258908
"42007 SAO BENTO DO SUL";117505;118695;119820;120915;122014;123129;124226;125288;126354;127439;128511;129630;130763;131893;133032;134198;135360;136508;137656;138787;139897;140986
"42008 JOINVILLE";695513;712957;729458;745511;761626;777967;794056;809615;825251;841145;856877;873284;889897;906461;923157;940258;957289;974120;990965;1007538;1023817;1039773
"42009 CURITIBANOS";119979;120493;120980;121452;121928;122409;122884;123341;123801;124270;124735;125218;125708;126196;126689;127192;127694;128191;128688;129176;129657;130127
"42010 CAMPOS DE LAGES";291724;291416;291125;290840;290555;290267;289984;289708;289432;289151;288872;288582;288289;287995;287700;287398;287097;286798;286503;286208;285922;285639
"42011 RIO DO SUL";186936;189254;191449;193585;195724;197900;200037;202106;204183;206296;208387;210568;212776;214977;217199;219471;221736;223972;226211;228414;230580;232699
"42012 BLUMENAU";560441;574295;587400;600146;612945;625921;638700;651053;663471;676092;688586;701619;714805;727959;741218;754803;768329;781697;795067;808228;821159;833831
"42013 ITAJAI";414474;432425;449401;465919;482499;499314;515871;531878;547969;564320;580507;597391;614480;631522;648704;666301;683825;701143;718473;735527;752278;768696
"42014 ITUPORANGA";52491;52945;53375;53794;54213;54639;55058;55464;55870;56285;56695;57122;57554;57987;58421;58868;59311;59751;60189;60620;61044;61461
"42015 TIJUCAS";71534;73904;76143;78323;80511;82730;84916;87027;89153;91311;93446;95676;97929;100178;102447;104770;107081;109367;111654;113904;116115;118282
"42016 FLORIANOPOLIS";727578;745457;762370;778823;795337;812089;828579;844526;860554;876842;892966;909785;926807;943784;960899;978428;995882;1013135;1030397;1047383;1064067;1080425
"42017 TABULEIRO";23126;23255;23379;23499;23618;23740;23861;23976;24093;24212;24329;24452;24575;24699;24823;24951;25077;25203;25328;25453;25574;25693
"42018 TUBARAO";345148;349037;352717;356295;359894;363537;367124;370596;374081;377627;381135;384797;388500;392194;395915;399730;403530;407282;411040;414736;418365;421924
"42019 CRICIUMA";333099;337693;342036;346262;350506;354808;359045;363142;367259;371442;375585;379904;384278;388639;393037;397540;402022;406454;410890;415254;419540;423741
"42020 ARARANGUA";163977;166124;168155;170130;172113;174125;176105;178019;179943;181901;183836;185857;187897;189935;191991;194098;196193;198264;200339;202376;204380;206347
"28001 SERGIPANA DO SERTAO DO SAO FRANCISCO";138412;140759;142914;145020;147080;149117;151184;153184;155160;157120;158984;160626;162252;163834;165421;167030;168549;170042;171605;173135;174628;176089
"28002 CARIRA";63134;63922;64645;65353;66042;66727;67422;68091;68755;69414;70039;70591;71136;71668;72201;72739;73249;73751;74275;74788;75289;75781
"28003 NOSSA SENHORA DAS DORES";59457;59995;60490;60971;61444;61911;62385;62843;63297;63746;64173;64550;64923;65284;65650;66017;66366;66708;67068;67416;67759;68093
"28004 AGRESTE DE ITABAIANA";147888;149657;151285;152875;154428;155966;157525;159034;160526;162003;163410;164651;165878;167069;168267;169482;170627;171755;172934;174087;175215;176317
"28005 TOBIAS BARRETO";102458;103400;104266;105111;105939;106758;107587;108390;109185;109972;110720;111379;112033;112668;113304;113951;114561;115162;115788;116403;117003;117588
"28006 AGRESTE DE LAGARTO";105222;106506;107685;108836;109963;111077;112208;113301;114383;115454;116473;117372;118261;119126;119994;120873;121704;122522;123376;124213;125030;125828
"28007 PROPRIA";89979;90314;90622;90923;91217;91510;91806;92089;92375;92653;92920;93154;93387;93615;93840;94070;94286;94501;94724;94943;95157;95366
"28008 COTINGUIBA";41349;42079;42751;43406;44047;44681;45325;45948;46562;47172;47752;48264;48769;49261;49756;50256;50729;51196;51680;52157;52622;53077
"28009 JAPARATUBA";50179;50815;51402;51974;52533;53086;53648;54191;54728;55260;55766;56212;56654;57084;57514;57951;58363;58769;59194;59609;60016;60412
"28010 BAIXO COTINGUIBA";78648;80104;81440;82747;84025;85288;86571;87811;89038;90253;91409;92429;93436;94418;95403;96399;97342;98269;99239;100189;101115;102020
"28011 ARACAJU";693604;711681;728291;744520;760383;776077;792010;807410;822649;837740;852096;864762;877282;889466;901700;914076;925792;937307;949342;961120;972637;983876
"28012 BOQUIM";148537;149657;150684;151690;152673;153644;154631;155585;156528;157462;158352;159137;159911;160668;161424;162190;162915;163629;164375;165104;165816;166512
"28013 ESTANCIA";112232;113807;115253;116667;118049;119415;120803;122144;123471;124786;126036;127139;128230;129291;130356;131434;132455;133457;134506;135532;136535;137515
"35001 JALES";149331;149738;150120;150488;150851;151210;151562;151901;152244;152596;152944;153267;153591;153914;154235;154567;154884;155190;155497;155797;156088;156371
"35002 FERNANDOPOLIS";102245;102810;103339;103846;104350;104849;105333;105804;106281;106768;107250;107696;108147;108595;109038;109496;109936;110362;110787;111202;111604;111998
"35003 VOTUPORANGA";128498;130132;131662;133130;134582;136029;137435;138796;140178;141583;142979;144269;145570;146864;148152;149476;150751;151980;153210;154410;155580;156716
"35004 SAO JOSE DO RIO PRETO";683000;694251;704783;714892;724895;734859;744544;753914;763419;773109;782719;791602;800568;809461;818355;827452;836240;844704;853170;861433;869487;877311
"35005 CATANDUVA";205564;207986;210251;212429;214580;216726;218809;220828;222875;224959;227028;228939;230870;232785;234698;236657;238548;240371;242192;243970;245705;247389
"35006 AURIFLAMA";45087;45362;45619;45869;46112;46358;46595;46824;47056;47295;47530;47748;47967;48185;48402;48625;48842;49049;49257;49459;49654;49847
"35007 NHANDEARA";59978;60767;61506;62217;62920;63618;64296;64957;65624;66304;66978;67602;68233;68856;69480;70120;70736;71330;71925;72503;73067;73619
"35008 NOVO HORIZONTE";73275;74171;75009;75813;76609;77402;78173;78920;79677;80447;81212;81918;82632;83341;84047;84772;85472;86145;86819;87478;88118;88740
"35009 BARRETOS";128855;129984;131043;132058;133063;134064;135037;135977;136932;137905;138870;139762;140663;141555;142448;143363;144245;145095;145945;146776;147584;148370
"35010 SAO JOAQUIM DA BARRA";194077;196629;199018;201313;203583;205844;208039;210166;212322;214521;216701;218715;220752;222768;224786;226850;228844;230764;232686;234560;236388;238162
"35011 ITUVERAVA";91192;91973;92704;93407;94101;94792;95464;96115;96774;97448;98114;98730;99353;99970;100589;101219;101830;102416;103005;103577;104136;104680
"35012 FRANCA";356719;361198;365392;369417;373399;377367;381221;384952;388737;392594;396419;399955;403525;407065;410607;414230;417726;421096;424466;427758;430962;434079
"35013 JABOTICABAL";392923;395802;398499;401087;403650;406200;408681;411081;413515;415996;418455;420731;423026;425303;427581;429909;432160;434325;436493;438608;440670;442674
"35014 RIBEIRAO PRETO";879672;899849;918729;936863;954800;972669;990030;1006839;1023883;1041262;1058491;1074418;1090500;1106444;1122393;1138715;1154464;1169644;1184826;1199647;1214085;1228115
"35015 BATATAIS";99598;100661;101654;102609;103555;104497;105410;106296;107193;108108;109016;109855;110702;111542;112382;113243;114072;114871;115669;116450;117211;117950
