MicroId,latitude,longitude,AbsolutVariation,abs_change,PercentageVariation,abs_pct_change,rising
22010,-9.247222652347832,-44.71792105812374,-9.0,9.0,-29.03225806451613,29.03225806451613,False
23021,-5.805574443184698,-39.483003431827356,-29.0,29.0,-34.523809523809526,34.523809523809526,False
23019,-5.059745281151754,-39.30261713398999,-1.0,1.0,-1.6666666666666667,1.6666666666666667,False
23004,-3.5852644048429227,-40.49612748668758,-2.0,2.0,-16.666666666666664,16.666666666666664,False
23024,-5.7149502478577,-38.697875893338036,0.0,0.0,0.0,0.0,False
23011,-3.9000791099567262,-39.3145290057805,-2.0,2.0,-20.0,20.0,False
23001,-3.099052825896446,-40.60001421134894,-12.0,12.0,-9.523809523809524,9.523809523809524,False
23026,-6.366467594830518,-38.99697148018338,-25.0,25.0,-39.0625,39.0625,False
23002,-3.914022277843128,-41.031792562657955,-5.0,5.0,-4.166666666666666,4.166666666666666,False
23016,-3.898605366379861,-38.678925176214534,-53.0,53.0,-23.555555555555554,23.555555555555554,False
23015,-4.336776095400844,-38.181288213870175,0.0,0.0,0.0,0.0,False
23030,-6.969182222763732,-39.400597064478696,-2.0,2.0,-33.33333333333333,33.33333333333333,False
23012,-4.3749662565048535,-39.39154935871031,0.0,0.0,0.0,0.0,False
23031,-7.18822366916599,-38.82084991126066,-4.0,4.0,-30.76923076923077,30.76923076923077,False
23009,-3.5398197910595117,-39.07986743538429,-2.0,2.0,-11.76470588235294,11.76470588235294,False
24004,-5.5822477902390855,-36.90100418199108,-6.0,6.0,-30.0,30.0,False
24007,-6.107104762143317,-37.80271438390219,-11.0,11.0,-57.89473684210527,57.89473684210527,False
24010,-6.001597095200956,-36.60614450644269,-2.0,2.0,-18.181818181818183,18.181818181818183,False
24012,-6.502163528141001,-36.655748411212365,0.0,0.0,0.0,0.0,False
24006,-6.146769508758586,-38.08991156977964,-17.0,17.0,-50.0,50.0,False
24018,-5.795353866291051,-35.24236778999036,-27.0,27.0,-27.27272727272727,27.27272727272727,False
24003,-5.811314049969548,-37.29335484349629,0.0,0.0,0.0,0.0,False
24008,-5.178499002615422,-36.31417969239363,0.0,0.0,0.0,0.0,False
24017,-5.832956563479872,-35.35221238735274,-9.0,9.0,-23.684210526315788,23.684210526315788,False
24002,-5.59540684310709,-37.67413856653395,-2.0,2.0,-11.11111111111111,11.11111111111111,False
24014,-6.179923998670529,-35.993301757013164,-7.0,7.0,-28.000000000000004,28.000000000000004,False
24009,-5.596104361130355,-36.33105246090319,-2.0,2.0,-20.0,20.0,False
25003,-6.773969387067295,-37.938303692918744,-9.0,9.0,-16.071428571428573,16.071428571428573,False
25008,-6.920892693838733,-36.94462411194765,0.0,0.0,0.0,0.0,False
25021,-7.151732859990137,-35.22331901802923,-2.0,2.0,-5.555555555555555,5.555555555555555,False
25022,-7.1024002160650905,-34.94746733489799,-3.0,3.0,-2.0408163265306123,2.0408163265306123,False
25016,-6.820012886554025,-35.434669355510685,-11.0,11.0,-26.190476190476193,26.190476190476193,False
25013,-6.624974104053046,-35.706307554677956,-2.0,2.0,-8.0,8.0,False
25012,-6.848542287494768,-36.11057032879986,-4.0,4.0,-12.903225806451612,12.903225806451612,False
25011,-7.540776014515458,-36.31422621615127,-5.0,5.0,-23.809523809523807,23.809523809523807,False
26014,-8.1238179223714,-35.33934116332884,-12.0,12.0,-28.57142857142857,28.57142857142857,False
26007,-8.800258345255482,-37.1200421179472,-7.0,7.0,-17.5,17.5,False
26002,-8.03306984661193,-39.24923395146981,0.0,0.0,0.0,0.0,False
26017,-8.047265096422247,-35.022078144778106,-13.0,13.0,-4.83271375464684,4.83271375464684,False
26005,-8.709166954464305,-40.246382643025505,-6.0,6.0,-4.316546762589928,4.316546762589928,False
26013,-7.648031370646309,-35.18953308481979,-15.0,15.0,-16.129032258064516,16.129032258064516,False
26016,-7.796424810352267,-34.96077698911238,-4.0,4.0,-16.0,16.0,False
26009,-7.874978146099445,-36.01450460110622,-22.0,22.0,-30.555555555555557,30.555555555555557,False
27008,-9.159051670052186,-36.11444881161289,-9.0,9.0,-29.03225806451613,29.03225806451613,False
27001,-9.162499948462214,-37.75420996718559,-3.0,3.0,-12.5,12.5,False
