"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"23022 LITORAL DE ARACATI";3;6;3;2;5;10;3;3;5;1;-;1;1;1;3;11;8;1;2;1;2;-;1;73
"23023 BAIXO JAGUARIBE";8;9;17;14;19;16;15;26;26;17;15;7;14;19;16;16;6;4;10;8;7;12;5;306
"23024 MEDIO JAGUARIBE";1;2;5;-;3;4;1;-;1;3;7;5;3;1;3;-;9;8;9;9;6;6;1;87
"23025 SERRA DO PEREIRO";-;-;1;1;2;1;1;2;1;-;-;2;3;-;-;2;3;1;3;1;1;3;2;30
"23026 IGUATU";2;6;9;5;9;5;7;5;5;3;4;4;7;7;2;10;30;19;21;20;28;34;6;248
"23027 VARZEA ALEGRE";1;1;4;2;4;2;-;2;6;-;-;-;1;1;1;2;9;12;15;7;11;14;3;98
"23028 LAVRAS DA MANGABEIRA";-;2;-;1;2;1;1;-;2;-;1;2;-;-;-;-;5;5;5;1;3;2;2;35
"23029 CHAPADA DO ARARIPE";4;2;1;3;2;2;1;-;5;3;2;1;-;1;-;1;-;-;1;1;3;2;1;36
"23030 CARIRIACU";2;3;-;-;2;1;1;-;-;2;-;-;-;-;4;-;1;-;1;-;1;-;-;18
"23031 BARRO";-;3;3;8;1;5;5;3;1;1;-;1;-;1;-;1;2;3;-;-;-;1;1;40
"23032 CARIRI";23;13;16;10;19;14;18;13;8;7;6;3;5;-;7;6;6;4;10;1;-;5;6;200
"23033 BREJO SANTO";3;2;3;4;4;10;1;7;2;1;4;-;-;1;1;-;1;4;3;2;2;1;3;59
"Ignorado - CE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"53001 BRASILIA";256;225;230;289;226;183;167;167;149;177;180;236;215;200;193;142;142;109;110;101;87;79;98;3961
"32001 BARRA DE SAO FRANCISCO";2;1;4;4;5;4;8;5;6;4;5;13;11;11;4;1;6;9;6;2;2;4;10;127
"32002 NOVA VENECIA";12;7;7;10;9;9;9;17;13;12;8;12;22;18;15;8;15;11;8;9;5;10;16;262
"32003 COLATINA";17;12;9;12;17;8;16;12;18;10;26;27;17;26;21;11;6;14;6;11;5;13;32;346
"32004 MONTANHA";4;1;1;2;4;4;6;10;7;5;5;6;9;7;10;12;5;7;1;3;2;11;-;122
"32005 SAO MATEUS";14;19;10;17;25;16;18;30;28;20;22;21;35;33;35;13;22;28;11;18;2;11;10;458
"32006 LINHARES";22;31;29;24;30;28;30;46;35;36;53;55;59;52;53;28;40;61;27;25;14;28;24;830
"32007 AFONSO CLAUDIO";10;14;6;14;12;17;20;12;13;12;12;11;19;17;11;20;5;11;8;9;5;13;13;284
"32008 SANTA TERESA";5;2;3;3;6;3;5;9;4;6;8;10;11;10;11;10;7;9;8;10;-;5;9;154
"32009 VITORIA";82;124;80;84;98;80;102;117;95;105;108;122;109;86;101;59;46;60;53;45;38;61;56;1911
"32010 GUARAPARI";14;10;14;5;11;12;18;20;12;15;18;19;29;29;34;19;23;14;8;6;4;1;4;339
"32011 ALEGRE";12;9;6;7;12;8;19;20;9;14;13;14;19;20;16;9;17;12;11;9;7;15;9;287
"32012 CACHOEIRO DE ITAPEMIRIM";30;26;28;22;22;31;20;21;22;19;39;46;42;36;29;24;25;31;22;11;12;10;23;591
"32013 ITAPEMIRIM";5;9;2;1;2;6;7;4;5;-;1;8;3;7;2;7;4;4;3;3;2;5;4;94
"Ignorado - ES";-;-;-;-;-;1;-;-;-;-;1;1;4;1;1;1;-;-;-;-;2;1;-;13
"52001 SAO MIGUEL DO ARAGUAIA";7;7;5;5;6;4;7;7;1;6;2;7;4;8;9;6;7;11;5;8;8;5;9;144
"52002 RIO VERMELHO";4;12;3;4;5;9;14;9;2;5;8;5;15;8;9;13;17;5;9;8;5;5;7;181
"52003 ARAGARCAS";2;1;2;2;2;2;1;-;4;8;4;4;8;5;4;5;4;7;6;6;1;3;8;89
"52004 PORANGATU";25;9;17;15;14;33;15;20;23;25;22;23;36;29;33;23;35;30;15;15;18;13;25;513
"52005 CHAPADA DOS VEADEIROS";7;1;6;5;8;8;1;1;7;1;2;9;4;10;8;6;6;7;5;8;7;-;3;120
"52006 CERES";16;5;15;4;13;17;18;8;26;31;37;28;26;37;32;24;24;26;21;25;12;15;19;479
"52007 ANAPOLIS";21;31;28;22;29;38;22;26;31;35;44;60;51;62;50;38;49;33;36;33;38;24;26;827
"52008 IPORA";3;1;-;-;1;7;1;1;6;4;3;4;14;11;9;8;4;7;6;4;7;4;7;112
"52009 ANICUNS";2;1;6;8;3;2;8;5;5;8;5;7;13;7;6;14;12;15;7;2;10;11;11;168
"52010 GOIANIA";83;53;63;62;92;82;75;76;66;91;74;96;86;111;122;114;108;102;73;76;75;91;72;1943
"52011 VAO DO PARANA";7;8;5;3;8;7;3;5;9;10;18;16;11;23;16;24;11;10;15;11;14;14;8;256
