"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"32003 COLATINA";-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;2;-;-;-;-;-;5
"32005 SAO MATEUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;4
"32006 LINHARES";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;1;-;2;1;2;9
"32007 AFONSO CLAUDIO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;3
"32008 SANTA TERESA";-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"32009 VITORIA";1;-;1;-;-;-;1;-;-;1;1;1;2;1;2;-;-;-;1;-;-;-;1;13
"32010 GUARAPARI";-;-;-;-;-;3;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"32011 ALEGRE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"32012 CACHOEIRO DE ITAPEMIRIM";2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"52001 SAO MIGUEL DO ARAGUAIA";-;-;-;-;-;-;-;1;3;2;-;1;-;-;3;1;-;-;-;-;1;-;-;12
"52002 RIO VERMELHO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;3
"52003 ARAGARCAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;3
"52004 PORANGATU";-;-;-;4;2;-;1;-;1;4;1;1;1;-;1;3;1;1;-;2;5;-;1;29
"52005 CHAPADA DOS VEADEIROS";2;-;1;1;3;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;13
"52006 CERES";2;3;1;-;3;4;1;-;2;-;1;2;-;-;-;1;-;-;2;-;-;-;4;26
"52007 ANAPOLIS";2;3;3;-;1;6;2;-;5;2;2;6;2;-;2;3;5;1;2;2;5;2;-;56
"52008 IPORA";-;1;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"52009 ANICUNS";1;-;-;-;-;-;-;-;-;1;1;-;1;1;2;-;1;-;-;-;1;-;1;10
"52010 GOIANIA";2;3;2;1;2;4;-;3;3;3;3;3;4;4;4;5;2;1;1;4;5;5;2;66
"52011 VAO DO PARANA";1;1;-;1;2;2;-;-;3;-;1;-;-;1;1;-;-;1;-;-;1;-;2;17
"52012 ENTORNO DE BRASILIA";-;1;-;4;1;4;1;-;3;-;9;2;2;1;2;1;1;3;1;2;2;1;1;42
"52013 SUDOESTE DE GOIAS";2;10;7;1;6;5;4;1;2;-;4;4;1;6;9;4;4;-;4;4;1;2;7;88
"52014 VALE DO RIO DOS BOIS";-;-;2;-;1;-;-;1;-;-;-;1;1;-;-;1;1;-;1;-;-;-;-;9
"52015 MEIA PONTE";-;2;2;5;-;5;1;1;1;1;1;1;1;-;4;1;-;1;1;-;-;4;1;33
"52016 PIRES DO RIO";-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;6
"52017 CATALAO";1;-;1;-;2;-;-;-;1;1;1;1;-;-;1;-;-;1;3;1;2;-;-;16
"52018 QUIRINOPOLIS";-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;4
"Ignorado - GO";1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;-;-;-;-;-;-;-;6
"21001 LITORAL OCIDENTAL MARANHENSE";-;3;-;1;-;-;-;-;-;1;-;-;-;-;7;-;-;-;-;-;-;-;-;12
"21002 AGLOMERACAO URBANA DE SAO LUIS";-;1;-;-;4;2;2;1;1;-;1;3;1;-;-;-;-;-;-;1;2;1;-;20
"21003 ROSARIO";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"21004 LENCOIS MARANHENSES";-;-;-;-;-;2;1;-;-;1;1;-;-;1;1;-;-;-;-;1;-;-;-;8
