"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"23001 LITORAL DE CAMOCIM E ACARAU";2;1;1;2;-;2;-;-;2;3;-;-;1;4;3;2;3;2;-;1;-;-;-;29
"23002 IBIAPABA";1;4;1;3;5;3;1;1;9;4;3;3;4;2;-;3;2;3;-;2;1;1;4;60
"23003 COREAU";2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;6
"23004 MERUOCA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"23005 SOBRAL";2;3;2;2;-;-;2;-;-;1;-;-;1;-;1;-;3;1;-;2;-;1;2;23
"23006 IPU";3;3;-;2;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;1;-;-;12
"23007 SANTA QUITERIA";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"23008 ITAPIPOCA";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"23009 BAIXO CURU";1;1;-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;6
"23010 URUBURETAMA";1;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"23011 MEDIO CURU";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"23012 CANINDE";1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"23013 BATURITE";-;-;1;1;1;2;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;9
"23014 CHOROZINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"23015 CASCAVEL";-;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"23016 FORTALEZA";3;4;3;1;3;2;4;7;4;5;-;2;-;-;4;1;3;8;4;6;1;1;5;71
"23017 PACAJUS";-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;6
"23018 SERTAO DE CRATEUS";2;-;1;-;-;-;-;2;2;-;2;-;-;-;1;-;-;-;-;1;-;1;-;12
"23019 SERTAO DE QUIXERAMOBIM";-;1;-;3;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;2;12
