"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"51021 RONDONOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"15002 SANTAREM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"15007 BELEM";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;-;5
"15008 CASTANHAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;4
"15009 SALGADO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"15010 BRAGANTINA";-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;2;-;1;-;-;-;-;-;6
"15011 CAMETA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"15012 TOME-ACU";-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;-;4
"15013 GUAMA";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;4
"15015 ALTAMIRA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;-;-;-;4
"15016 TUCURUI";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2
"15017 PARAGOMINAS";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;4
"15018 SAO FELIX DO XINGU";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"15019 PARAUAPEBAS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"15020 MARABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"15021 REDENCAO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"15022 CONCEICAO DO ARAGUAIA";-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"25001 CATOLE DO ROCHA";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"25002 CAJAZEIRAS";-;-;1;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"25003 SOUSA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;3
"25005 PIANCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"25008 SERIDO OCIDENTAL PARAIBANO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"25010 CARIRI OCIDENTAL";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
