"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"52004 PORANGATU";34;9;15;21;13;8;9;12;12;19;15;20;16;12;30;19;25;18;14;9;11;24;18;383
"52005 CHAPADA DOS VEADEIROS";3;5;2;4;3;3;-;4;1;4;3;13;2;6;13;7;8;4;6;3;8;7;4;113
"52006 CERES";18;9;19;19;7;5;8;18;13;22;17;19;12;10;19;8;11;7;11;5;19;13;16;305
"52007 ANAPOLIS";66;30;51;45;46;28;37;65;53;64;66;49;76;42;73;56;56;45;30;31;43;61;46;1159
"52008 IPORA";18;12;10;4;6;1;3;2;-;1;3;3;2;2;7;4;3;3;6;3;11;6;1;111
"52009 ANICUNS";10;21;15;11;8;13;15;3;16;11;6;10;12;7;6;6;6;6;3;6;11;11;15;228
"52010 GOIANIA";207;193;246;276;207;157;140;157;190;203;266;234;211;188;119;85;73;39;19;51;83;114;119;3577
"52011 VAO DO PARANA";1;4;3;3;2;6;1;4;4;2;2;4;9;7;11;17;6;5;7;8;16;14;12;148
"52012 ENTORNO DE BRASILIA";42;55;47;48;35;45;39;51;45;57;58;53;79;75;82;58;71;82;67;66;66;83;84;1388
"52013 SUDOESTE DE GOIAS";47;43;52;45;48;37;55;39;56;57;72;70;48;48;44;51;17;14;10;14;24;12;33;936
"52014 VALE DO RIO DOS BOIS";9;6;20;15;10;11;9;7;13;7;11;8;21;10;9;8;9;6;9;8;11;19;10;246
"52015 MEIA PONTE";28;20;23;16;28;15;13;13;22;25;20;24;33;20;22;29;30;10;10;14;30;23;33;501
"52016 PIRES DO RIO";7;8;10;19;16;8;7;6;9;9;8;8;17;8;12;11;10;11;1;4;14;8;12;223
"52017 CATALAO";17;21;22;21;31;19;27;18;24;31;24;26;21;10;9;6;8;8;1;3;10;12;9;378
"52018 QUIRINOPOLIS";8;7;9;5;7;20;12;7;10;11;12;10;16;14;13;4;4;7;2;8;6;6;8;206
"Ignorado - GO";9;2;2;1;3;2;5;5;4;2;6;3;6;6;8;3;3;3;2;1;5;2;6;89
"21001 LITORAL OCIDENTAL MARANHENSE";-;1;4;4;4;2;-;4;3;4;6;10;13;13;11;7;3;8;5;6;9;10;8;135
"21002 AGLOMERACAO URBANA DE SAO LUIS";22;38;41;56;59;42;44;63;96;73;45;75;80;116;117;104;51;41;88;108;45;69;50;1523
"21003 ROSARIO";2;7;2;8;2;7;7;19;16;7;16;8;14;15;16;14;8;10;18;15;13;21;11;256
"21004 LENCOIS MARANHENSES";4;-;-;3;3;5;6;4;7;3;3;3;5;4;7;7;11;5;5;6;11;4;3;109
"21005 BAIXADA MARANHENSE";9;8;8;11;3;7;9;11;22;7;20;12;24;26;32;28;12;23;28;26;33;28;33;420
"21006 ITAPECURU MIRIM";2;1;3;2;5;5;7;3;11;7;14;6;12;15;15;22;12;7;19;18;25;19;28;258
"21007 GURUPI";-;3;1;-;1;4;3;2;1;8;3;6;8;5;17;9;6;4;5;7;11;11;12;127
"21008 PINDARE";12;15;11;20;24;22;17;26;35;34;18;37;51;35;26;41;25;37;31;22;43;37;23;642
"21009 IMPERATRIZ";48;50;41;34;38;44;54;90;117;71;97;58;42;45;29;37;36;35;12;7;11;10;13;1019
"21010 MEDIO MEARIM";11;14;8;9;12;8;9;16;17;20;15;20;31;14;13;18;20;21;11;16;26;21;22;372
"21011 ALTO MEARIM E GRAJAU";2;5;8;2;10;6;7;13;18;19;17;9;12;17;18;9;10;13;9;8;19;22;21;274
"21012 PRESIDENTE DUTRA";3;2;7;6;11;1;10;7;11;6;6;12;6;16;9;11;13;4;13;20;17;19;16;226
"21013 BAIXO PARNAIBA MARANHENSE";1;3;3;4;6;2;2;1;-;1;2;-;6;5;4;3;4;3;3;7;8;8;7;83
"21014 CHAPADINHA";-;3;2;5;4;4;4;5;10;12;5;28;25;25;17;8;7;19;17;19;22;15;19;275
"21015 CODO";1;3;1;6;10;-;15;11;18;8;14;3;5;7;9;2;5;9;15;8;13;14;23;200
"21016 COELHO NETO";-;2;-;5;1;4;4;2;4;5;2;3;7;3;6;2;5;12;-;4;3;3;2;79
"21017 CAXIAS";31;20;34;28;34;16;25;35;21;22;17;28;38;22;20;11;27;37;15;11;17;11;17;537
