"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"32001 BARRA DE SAO FRANCISCO";-;2;6;5;6;11;13;20;11;12;12;14;15;7;12;13;16;15;11;9;12;16;9;247
"32002 NOVA VENECIA";1;2;3;5;10;12;11;22;19;19;20;18;26;10;13;12;17;25;13;6;23;26;23;336
"32003 COLATINA";5;6;6;7;10;9;22;22;19;21;20;25;25;23;20;26;12;19;18;16;16;18;26;391
"32004 MONTANHA";4;-;2;1;1;3;1;4;7;2;8;8;3;6;3;4;4;10;3;2;-;9;1;86
"32005 SAO MATEUS";4;3;3;4;4;1;6;4;14;7;13;18;18;14;13;11;9;22;6;1;5;13;9;202
"32006 LINHARES";2;3;4;6;6;7;11;22;24;20;12;27;23;22;23;17;17;24;14;18;14;31;38;385
"32007 AFONSO CLAUDIO";3;4;8;4;5;5;5;14;16;18;25;15;28;21;16;12;21;22;16;23;17;17;14;329
"32008 SANTA TERESA";1;6;4;7;3;8;8;7;12;11;16;14;15;18;21;10;10;13;10;13;9;16;7;239
"32009 VITORIA";13;15;33;41;36;40;57;57;77;86;90;94;79;76;71;78;75;64;54;53;64;77;54;1384
"32010 GUARAPARI";3;3;11;3;6;16;10;14;16;13;20;20;24;20;11;23;14;17;12;10;9;24;18;317
"32011 ALEGRE";5;9;10;3;8;6;7;15;22;14;19;30;25;16;23;24;27;30;17;16;20;20;17;383
"32012 CACHOEIRO DE ITAPEMIRIM";18;26;26;17;25;26;34;46;47;38;47;63;61;52;48;43;35;46;33;29;24;21;48;853
"32013 ITAPEMIRIM";10;3;4;3;7;4;10;17;7;11;13;17;21;24;15;17;15;21;16;14;13;16;13;291
"Ignorado - ES";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
