"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"23028 LAVRAS DA MANGABEIRA";3;1;2;-;1;1;2;2;1;2;-;2;1;1;1;-;-;1;-;1;-;1;-;23
"23029 CHAPADA DO ARARIPE";8;9;2;3;4;1;3;2;2;3;3;1;2;3;3;1;1;2;-;-;1;1;2;57
"23030 CARIRIACU";2;2;3;2;2;2;-;2;3;1;1;-;-;-;-;-;1;3;1;2;1;3;1;32
"23031 BARRO";4;4;2;-;1;2;5;1;2;5;3;1;-;-;-;1;2;-;1;4;1;-;1;40
"23032 CARIRI";33;32;44;36;43;67;47;36;32;24;14;7;2;26;17;7;8;10;21;20;15;7;7;555
"23033 BREJO SANTO";2;1;4;9;6;3;-;4;5;6;8;2;2;5;3;4;5;3;3;1;-;2;1;79
"Ignorado - CE";-;1;-;-;17;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;19
"53001 BRASILIA";172;168;185;194;169;186;164;183;179;150;174;139;132;130;128;118;131;91;108;92;91;86;104;3274
"32001 BARRA DE SAO FRANCISCO";4;1;2;1;1;3;2;4;5;5;2;4;3;2;3;2;3;3;5;3;-;2;6;66
"32002 NOVA VENECIA";1;7;7;8;6;1;3;6;9;6;3;6;12;6;9;4;8;5;2;1;-;3;3;116
"32003 COLATINA";7;10;16;15;12;7;8;13;11;13;10;7;10;7;10;11;10;11;7;4;1;8;3;211
"32004 MONTANHA";2;-;5;-;2;4;3;3;3;-;5;2;4;1;1;4;4;2;3;-;-;2;-;50
"32005 SAO MATEUS";21;17;15;17;11;8;14;19;16;13;13;9;9;11;6;7;5;12;4;3;1;6;4;241
"32006 LINHARES";19;24;26;24;13;21;15;33;23;20;24;22;22;18;12;10;10;8;8;5;8;16;3;384
"32007 AFONSO CLAUDIO";5;7;6;12;3;4;7;5;12;7;9;4;5;4;4;5;7;5;6;6;2;5;3;133
"32008 SANTA TERESA";5;2;4;1;-;4;5;3;8;1;6;3;7;2;-;3;1;2;2;6;1;1;1;68
"32009 VITORIA";134;125;133;133;108;98;98;117;143;104;110;117;87;91;78;67;63;67;66;56;50;61;48;2154
"32010 GUARAPARI";12;24;14;13;22;12;17;17;7;11;12;15;17;12;7;6;10;6;7;10;4;9;6;270
"32011 ALEGRE";7;14;5;4;8;13;8;4;10;8;14;10;13;9;8;4;13;6;6;1;2;5;4;176
"32012 CACHOEIRO DE ITAPEMIRIM";23;23;15;17;18;15;18;20;19;20;16;19;12;14;18;9;12;10;14;14;6;12;11;355
"32013 ITAPEMIRIM";4;4;5;2;7;4;5;5;8;3;7;8;5;6;5;2;2;5;2;7;-;3;1;100
"Ignorado - ES";-;-;-;-;-;-;1;1;1;-;-;1;-;2;-;1;-;-;-;-;2;6;3;18
"52001 SAO MIGUEL DO ARAGUAIA";2;3;1;2;3;3;2;1;-;4;3;2;3;2;3;5;1;2;1;3;1;3;3;53
"52002 RIO VERMELHO";1;2;3;2;6;15;1;1;4;1;2;1;7;4;2;1;6;3;8;1;1;5;5;82
"52003 ARAGARCAS";1;-;1;2;2;1;1;4;2;6;3;3;1;3;2;5;-;1;1;5;3;1;2;50
"52004 PORANGATU";8;11;6;10;14;10;14;6;8;7;10;13;10;11;10;6;7;7;9;3;3;6;4;193
"52005 CHAPADA DOS VEADEIROS";3;5;5;4;1;2;2;2;-;2;4;2;2;1;-;3;2;5;3;1;-;1;3;53
"52006 CERES";2;5;19;7;8;10;11;14;11;16;15;11;10;10;6;5;6;12;7;5;5;6;7;208
"52007 ANAPOLIS";27;38;32;40;34;25;36;33;30;40;34;35;31;26;27;13;24;19;27;24;17;27;22;661
"52008 IPORA";2;-;3;-;3;3;1;-;1;2;2;1;1;2;-;1;3;4;6;1;-;2;3;41
"52009 ANICUNS";3;3;4;1;2;6;2;4;3;3;1;5;1;6;3;3;1;1;1;1;3;6;5;68
"52010 GOIANIA";97;98;95;122;96;127;100;104;103;94;134;96;114;122;122;86;69;77;81;64;71;81;67;2220
"52011 VAO DO PARANA";2;-;3;1;7;9;4;4;3;1;3;1;3;8;8;5;10;3;4;1;5;3;2;90
"52012 ENTORNO DE BRASILIA";76;93;79;82;85;65;58;53;75;57;82;71;68;73;72;54;36;51;44;45;47;40;34;1440
"52013 SUDOESTE DE GOIAS";10;10;9;14;23;23;11;15;18;11;15;14;7;21;18;18;12;18;12;17;9;13;13;331
"52014 VALE DO RIO DOS BOIS";8;4;1;2;9;3;5;5;6;1;1;-;6;2;2;2;9;9;-;5;4;1;5;90
"52015 MEIA PONTE";7;15;11;8;22;15;8;15;17;15;12;17;15;18;12;10;7;16;11;12;17;11;9;300
"52016 PIRES DO RIO";4;3;6;6;3;5;5;-;4;3;5;3;6;7;4;1;3;3;6;6;4;9;2;98
"52017 CATALAO";9;6;8;6;12;7;4;6;9;4;10;7;12;3;2;6;8;10;6;4;3;3;6;151
"52018 QUIRINOPOLIS";6;-;3;10;3;4;1;4;2;2;2;2;3;5;4;5;2;3;2;3;2;2;3;73
"Ignorado - GO";2;6;3;3;1;1;6;6;8;10;4;9;6;10;12;8;4;9;4;7;1;5;5;130
"21001 LITORAL OCIDENTAL MARANHENSE";2;-;1;2;4;5;4;3;5;7;3;4;-;2;4;3;6;2;3;1;3;1;-;65
"21002 AGLOMERACAO URBANA DE SAO LUIS";39;55;88;69;65;74;64;60;61;54;71;55;58;25;27;29;28;50;14;21;39;31;33;1110
"21003 ROSARIO";3;8;7;4;16;12;13;6;4;9;9;9;10;2;1;4;5;5;2;3;6;7;1;146
"21004 LENCOIS MARANHENSES";2;-;3;3;6;1;1;2;5;3;4;4;9;3;6;3;1;-;7;5;3;6;1;78
"21005 BAIXADA MARANHENSE";7;9;11;8;12;15;12;16;7;14;23;26;25;14;16;14;14;9;5;4;8;11;7;287
"21006 ITAPECURU MIRIM";5;5;3;7;8;8;8;8;7;11;7;6;3;11;4;4;7;6;4;2;7;4;5;140
"21007 GURUPI";4;2;5;6;4;4;3;1;2;6;9;4;4;4;6;5;2;2;6;2;-;3;4;88
"21008 PINDARE";15;13;18;12;8;19;18;17;14;20;21;10;17;15;19;14;14;18;17;27;22;19;18;385
"21009 IMPERATRIZ";2;5;9;7;19;33;28;26;10;7;10;28;37;36;29;16;18;19;28;53;47;50;20;537
"21010 MEDIO MEARIM";9;7;7;14;11;16;13;13;6;11;18;16;14;12;15;11;18;11;8;3;7;9;6;255
"21011 ALTO MEARIM E GRAJAU";21;10;10;11;19;9;13;16;14;8;8;11;21;14;17;11;4;10;14;17;18;14;8;298
"21012 PRESIDENTE DUTRA";2;1;1;4;4;2;3;10;5;10;12;11;7;6;8;4;7;5;7;2;3;3;3;120
"21013 BAIXO PARNAIBA MARANHENSE";1;1;2;1;2;1;-;4;3;-;5;4;3;3;4;3;4;4;1;1;2;1;2;52
"21014 CHAPADINHA";3;-;6;3;5;6;4;4;4;7;8;3;5;6;9;4;1;7;2;-;3;2;4;96
"21015 CODO";2;5;3;8;13;14;13;12;19;9;8;10;18;14;9;8;10;7;8;6;3;5;7;211
"21016 COELHO NETO";2;-;6;1;3;1;1;1;1;1;1;5;2;3;2;1;4;-;2;2;3;-;2;44
"21017 CAXIAS";4;8;10;15;14;12;12;18;21;16;17;17;20;26;32;30;22;17;22;16;16;11;15;391
"21018 CHAPADAS DO ALTO ITAPECURU";10;1;4;7;8;6;2;4;7;8;8;6;10;8;6;4;5;8;4;4;4;3;1;128
"21019 PORTO FRANCO";3;4;3;6;4;6;-;3;1;3;6;3;3;2;4;5;8;3;3;14;5;11;4;104
"21020 GERAIS DE BALSAS";5;1;5;5;6;4;4;3;4;2;7;3;4;12;13;4;5;3;5;15;7;4;5;126
"21021 CHAPADAS DAS MANGABEIRAS";-;2;1;-;3;6;1;-;3;1;4;1;1;4;-;2;3;1;1;-;1;1;1;37
"Ignorado - MA";1;-;-;-;-;-;1;-;-;-;2;2;-;-;4;1;3;2;1;1;1;4;1;24
"31001 UNAI";8;7;10;4;3;4;4;3;6;2;7;5;3;8;12;4;8;2;5;1;1;1;7;115
"31002 PARACATU";7;8;11;6;8;5;5;10;5;8;5;8;3;3;4;4;6;1;2;4;1;1;2;117
"31003 JANUARIA";1;2;2;3;1;3;-;2;4;4;6;5;3;4;6;3;5;9;2;6;1;3;3;78
"31004 JANAUBA";-;1;2;6;4;1;3;1;6;3;8;2;11;4;7;1;3;2;-;2;-;2;2;71
"31005 SALINAS";3;3;4;2;-;5;6;1;6;2;6;3;4;4;4;3;1;4;1;4;3;3;1;73
"31006 PIRAPORA";3;1;-;3;4;1;1;1;3;6;4;3;1;3;5;2;5;2;2;2;3;6;-;61
"31007 MONTES CLAROS";1;2;3;8;6;13;17;24;10;11;19;11;8;6;5;8;8;9;4;5;2;8;5;193
"31008 GRAO MOGOL";-;-;2;1;2;2;2;1;1;4;1;1;-;-;-;1;-;-;-;2;-;-;-;20
"31009 BOCAIUVA";-;-;-;-;1;2;1;4;-;2;1;-;1;2;-;1;1;-;-;3;-;1;3;23
"31010 DIAMANTINA";2;2;1;-;2;2;2;3;-;1;-;2;1;1;3;-;5;1;2;1;1;-;3;35
"31011 CAPELINHA";5;1;5;4;6;3;9;4;4;4;2;2;5;5;9;7;1;5;4;-;1;1;2;89
"31012 ARACUAI";1;1;2;4;3;12;8;3;5;4;9;3;4;3;4;5;4;5;3;1;5;1;5;95
"31013 PEDRA AZUL";-;1;2;6;7;2;2;3;2;2;3;4;-;6;3;3;1;3;2;3;2;3;1;61
